"date","timestamp","tenant_id","org_id","unit_id","department_id","machine_id","edge_id","shift_id","batch_id","total_machine_runtime","machine_up_time","planned_production_time","machine_idle_time","actual_production_time","net_available_time","all_available_time","total_machine_downtime","total_planned_downtime","unplanned_downtime","target_parts","total_parts_produced","no_of_parts_rejected","total_production_per_batch","actual_cycletime","time_between_job_parts","parts_per_minute","availability_loss_time","cycletime_loss","capacity_utilized_percent","machine_performance_percent","machine_availability_percent","availability_loss_percent","asset_utilization_percent","planned_downtime_percent"
2023-12-05,1701763195415,18,51,52,53,NAC_012,E400022,First Shift,,676485,676485,3600000,502924,1179409,,,2420591,2420591,2420591,,10,,,8660.333,63801,1,2923515,4660.333333333334,0.37037037037037035,5.912917507409625,18.79125,81.20875,32.761361111111114,0.0
2023-12-05,1701763256027,18,51,52,53,NAC_012,E400022,First Shift,,53130,53130,3600000,2897,56027,,,3543973,3543973,3543973,,1,,,,53130,1,3546870,,0.037037037037037035,7.528703180877095,1.4758333333333333,98.52416666666667,1.556305583333325,0.0
2023-12-05,1701814083582,18,51,52,53,NAC_012,E400022,Third Shift,,7438,7438,0,0,7438,,,3592562,-7438,-7438,,0,,,,0,0,-7438,,0.0,0.0,0.0,0.0,0.20661113888889343,100.20703890432706
2023-12-05,1701763195415,18,51,52,53,NAC_012,E400022,First Shift,,676485,676485,3600000,502924,1179409,,,2420591,2420591,2420591,,10,,,8660.333,63801,1,2923515,4660.333333333334,0.37037037037037035,5.912917507409625,18.79125,81.20875,32.761361111111114,0.0
2023-12-05,1701763256027,18,51,52,53,NAC_012,E400022,First Shift,,53130,53130,3600000,2897,56027,,,3543973,3543973,3543973,,1,,,,53130,1,3546870,,0.037037037037037035,7.528703180877095,1.4758333333333333,98.52416666666667,1.556305583333325,0.0
2023-12-05,1701814083582,18,51,52,53,NAC_012,E400022,Third Shift,,7438,7438,0,0,7438,,,3592562,-7438,-7438,,0,,,,0,0,-7438,,0.0,0.0,0.0,0.0,0.20661113888889343,100.20703890432706
2023-12-05,1701755998051,18,51,52,53,NAC_021,E400023,First Shift,,806507,806507,3600000,1949,808456,,,2791544,2791544,2791544,,23,,,5239.7896,24304,2,2793493,1239.7894736842109,0.8518518518518519,11.407216552367183,22.40297222222222,77.59702777777778,22.45711111111111,0.0
2023-12-05,1701758448948,18,51,52,53,NAC_021,E400023,First Shift,,2438699,2438699,3600000,10249,2448948,,,1151052,1151052,1151052,,71,,,7149.3906,24800,2,1161301,3149.390625,2.6296296296296298,11.64555363331022,67.74163888888889,32.258361111111114,68.02633336111111,0.0
2023-12-05,1701766792127,18,51,52,53,NAC_021,E400023,First Shift,,117021,117021,3600000,7873,124894,,,3475106,3475106,3475106,,1,,,53048.0,0,0,3482979,49048.0,0.037037037037037035,3.4181898975397575,3.250583333333333,96.74941666666666,3.4692777777777777,0.0
2023-12-05,1701768534021,18,51,52,53,NAC_021,E400023,First Shift,,1631638,1631638,3600000,102383,1734021,,,1865979,1865979,1865979,,28,,,11113.625,37164,1,1968362,7113.625,1.037037037037037,6.864267686827592,45.323277777777776,54.67672222222222,48.16725002777778,0.0
2023-12-05,1701784231329,18,51,52,53,NAC_021,E400023,Second Shift,,6134,6134,3600000,0,6134,,,3593866,3593866,3593866,,0,,,,0,0,3593866,,0.0,0.0,0.1703888888888889,99.82961111111112,0.17038891666667122,0.0
2023-12-05,1701763195415,18,51,52,53,NAC_012,E400022,First Shift,,676485,676485,3600000,502924,1179409,,,2420591,2420591,2420591,,10,,,8660.333,63801,1,2923515,4660.333333333334,0.37037037037037035,5.912917507409625,18.79125,81.20875,32.761361111111114,0.0
2023-12-05,1701763256027,18,51,52,53,NAC_012,E400022,First Shift,,53130,53130,3600000,2897,56027,,,3543973,3543973,3543973,,1,,,,53130,1,3546870,,0.037037037037037035,7.528703180877095,1.4758333333333333,98.52416666666667,1.556305583333325,0.0
2023-12-05,1701814083582,18,51,52,53,NAC_012,E400022,Third Shift,,7438,7438,0,0,7438,,,3592562,-7438,-7438,,0,,,,0,0,-7438,,0.0,0.0,0.0,0.0,0.20661113888889343,100.20703890432706
2023-12-05,1701755998051,18,51,52,53,NAC_021,E400023,First Shift,,806507,806507,3600000,1949,808456,,,2791544,2791544,2791544,,23,,,5239.7896,24304,2,2793493,1239.7894736842109,0.8518518518518519,11.407216552367183,22.40297222222222,77.59702777777778,22.45711111111111,0.0
2023-12-05,1701758448948,18,51,52,53,NAC_021,E400023,First Shift,,2438699,2438699,3600000,10249,2448948,,,1151052,1151052,1151052,,71,,,7149.3906,24800,2,1161301,3149.390625,2.6296296296296298,11.64555363331022,67.74163888888889,32.258361111111114,68.02633336111111,0.0
2023-12-05,1701766792127,18,51,52,53,NAC_021,E400023,First Shift,,117021,117021,3600000,7873,124894,,,3475106,3475106,3475106,,1,,,53048.0,0,0,3482979,49048.0,0.037037037037037035,3.4181898975397575,3.250583333333333,96.74941666666666,3.4692777777777777,0.0
2023-12-05,1701768534021,18,51,52,53,NAC_021,E400023,First Shift,,1631638,1631638,3600000,102383,1734021,,,1865979,1865979,1865979,,28,,,11113.625,37164,1,1968362,7113.625,1.037037037037037,6.864267686827592,45.323277777777776,54.67672222222222,48.16725002777778,0.0
2023-12-05,1701784231329,18,51,52,53,NAC_021,E400023,Second Shift,,6134,6134,3600000,0,6134,,,3593866,3593866,3593866,,0,,,,0,0,3593866,,0.0,0.0,0.1703888888888889,99.82961111111112,0.17038891666667122,0.0
2023-12-04,1701651595000,15,42,43,45,humac_mac_001,E400099,Shift_3,,2047000,2047000,3600000,8000,2055000,,,1545000,1545000,1545000,,409,,,5000.0,0,12,1553000,1000.0,45.44444444444444,79.9218368343918,56.86111111111111,43.138888888888886,57.083333333333336,0.0
2023-12-04,1701655198000,15,42,43,45,humac_mac_001,E400099,Shift_3,,2053000,2053000,3600000,2000,2055000,,,1545000,1545000,1545000,,411,,,5009.78,0,12,1547000,1009.779951100245,45.666666666666664,80.07793472966391,57.02777777777778,42.97222222222222,57.083333333333336,0.0
